id,from,to,priority,type,shape,name,spreadType
-1093065755,1562864501,150735926,3,highway.residential,"[1178.84, 1674.99]",Westendstraße,
-1093548834#1,1597984702,cluster_1597984691_2378548254,3,highway.residential,"[1177.57, 1673.94]",Zinsgutstraße,
-1093549448#0,1618738457,1597984702,3,highway.residential,"[1169.92, 1682.54]",Zinsgutstraße,
-1093549448#2,cluster_10015566967_1597984714_1597984715,1597984712,3,highway.residential,"[1174.12, 1685.96]",Zinsgutstraße,
-1093549550#0,1597984717,cluster_10015566967_1597984714_1597984715,3,highway.residential,"[1101.49, 1760.69]",Zinsgutstraße,
-1102335607#2,38918483,671564454,3,highway.residential,"[1045.39, 1809.03]",Ernst-Augustin-Straße,
-1102346414#0,10087012707,2163157217,1,highway.service,"[799.92, 1613.52]",,
-1102346414#1,10087012702,10087012707,1,highway.service,"[792.86, 1607.82]",,
-1113237024,10185016047,1597984770,1,highway.service,"[2289.22, 1669.78]",Neltestraße,
-1115998577,10207308307,10207308305,1,highway.service,"[2296.08, 1675.54]",,
-1115998579,10207318721,10207318719,1,highway.service,"[2303.32, 1683.62]",,
-1115998580,10207318724,10207318722,1,highway.service,"[2304.15, 1686.94]",,
-1115998581,10207318727,10207318725,1,highway.service,"[2301.99, 1694.53]",,
-1115998582,10207318730,10207318728,1,highway.service,"[2299.48, 1698.25]",,
-1117716289,10222726382,10222726377,1,highway.service,"[2291.8, 1702.32]",,
-1117718165,5564694996,10222726703,1,highway.service,"[2283.57, 1701.0]",,
-1118341301,10228289850,10228289857,1,highway.service,"[2572.09, 1473.95]",,
-1118380198,677322776,1613212051,10,highway.tertiary,"[2620.01, 1410.51]",Ottomar-Geschke-Straße,
-1125710844#0,10294012684,1560224480,4,highway.unclassified,"[2094.08, 926.59]",James-Franck-Straße,
-1125710844#1,607684229,10294012684,4,highway.unclassified,"[2125.1, 925.95]",James-Franck-Straße,
-1125710845,cluster_1560223721_1560223744,1560223834,4,highway.unclassified,"[2139.86, 936.39]",James-Franck-Straße,
-1125803942,10294854710,10294854713,1,highway.service,"[2406.05, 1322.03]",,
-1130887422#0,cluster_1560223745_671564302,1560223943,4,highway.unclassified,"[2378.5, 1358.27]",Schwarzschildstraße,
-1130887422#2,1560223615,cluster_1560223745_671564302,4,highway.unclassified,"[2044.89, 1151.82]",Schwarzschildstraße,
-11389403#0,cluster_695674949_695674956,101335910,10,highway.tertiary,"[2109.99, 1071.34]",Dörpfeldstraße,
