id,from,to,priority,type,shape,name,spreadType
-1066214689#0,1597984614,1625633834,3,highway.residential,"2446.60,1270.44 2406.05,1322.03 2395.16,1335.99 2378.50,1358.27",Nipkowstraße,
-1066219245#0,1625633798,1625633806,3,highway.residential,"2109.99,1071.34 2044.89,1151.82 2039.78,1157.80",Anna-Seghers-Straße,
-1066219245#1,cluster_1859596114_2386339310_2386339322_9038573262,1625633798,3,highway.residential,"2122.85,1052.97 2114.18,1065.25 2109.99,1071.34",Anna-Seghers-Straße,
-1066219245#4,cluster_1625633765_7677114361,cluster_1859596114_2386339310_2386339322_9038573262,3,highway.residential,"2158.36,1009.68 2134.07,1039.64",Anna-Seghers-Straße,
-1066219245#6,1625633757,cluster_1625633765_7677114361,3,highway.residential,"2171.53,992.64 2159.23,1008.46",Anna-Seghers-Straße,
-1066221787,1625633839,1625633841,3,highway.residential,"1994.63,1386.85 2002.62,1391.70 2032.03,1409.58",Radickestraße,
-1066222296#0,1625633843,1625633844,3,highway.residential,"2102.72,1452.53 2109.72,1456.79 2192.09,1507.05",Radickestraße,
-1069436788,9815974861,cluster_257742685_6751063690,1,highway.service,"3180.02,2915.46 3178.43,2904.08",,
-1072169591,681588322,685151389,3,highway.residential,"2579.71,3087.45 2583.89,3100.81 2585.41,3110.45 2587.11,3149.30 2588.38,3161.86 2589.23,3166.00",Ostritzer Straße,
-1072185417,1625633804,1625633810,3,highway.residential,"2200.81,1124.88 2196.44,1130.13 2133.91,1205.21 2129.95,1209.96",Moissistraße,
-1072185418#1,1859641843,8243171040,3,highway.residential,"2038.66,1027.54 2025.13,1019.65 2023.47,1018.22 2021.80,1016.77",Otto-Franke-Straße,
-1072255238#0,cluster_1625633742_2471305126_261702842,8252378185,3,highway.residential,"2409.94,900.35 2406.12,903.42 2402.86,906.04",Anna-Seghers-Straße,
-1072269112,cluster_237254117_237254438,cluster_150756867_237252932,10,highway.tertiary,"2113.74,1717.64 2139.97,1731.04 2169.98,1748.84 2181.87,1755.53",Dörpfeldstraße,
-1072269116#0,416397372,1597984764,3,highway.residential,"1420.32,1987.58 1393.54,1997.21 1375.56,2008.34 1353.74,2034.36",Vimystraße,
-1072285656,9838637674,cluster_1506187399_9838637672,1,highway.service,"1227.04,1982.28 1246.63,1959.28 1252.26,1964.00 1257.44,1968.35",,
-1075528615#0,9838383583,9838383585,3,highway.residential,"2309.59,996.16 2292.52,1014.74 2280.27,1028.06",Anna-Seghers-Straße,
-1075528615#2,4410387623,1625633750,3,highway.residential,"2376.46,927.23 2363.10,937.95 2317.36,987.72",Anna-Seghers-Straße,
-1075528615#4,8252378185,4410387622,3,highway.residential,"2402.86,906.04 2401.00,907.53 2388.28,917.74",Anna-Seghers-Straße,
-1075528616#0,9838383585,261703641,3,highway.residential,"2280.27,1028.06 2265.13,1044.53 2255.23,1047.43 2244.57,1042.34 2243.70,1041.54",Anna-Seghers-Straße,
-1085132033#0,297166435,294159769,3,highway.residential,"3158.47,1966.48 3182.38,1983.58 3191.10,1989.81 3203.35,1998.57 3206.75,2005.92 3204.48,2013.18 3186.99,2069.28 3174.07,2110.68 3169.72,2123.22",Rudower Straße,
-1085132033#5,1640587099,150735936,3,highway.residential,"3238.70,1767.69 3234.88,1771.20 3231.87,1774.15 3230.60,1776.19 3217.09,1797.98 3211.49,1810.60",Rudower Straße,
-1085424252,220492116,416397372,3,highway.residential,"1461.04,1972.95 1431.53,1983.58 1423.88,1986.33 1420.32,1987.58",Vimystraße,
-1093045352#2,257742677,297091812,3,highway.residential,"3126.10,2621.74 3122.35,2614.35 3122.25,2612.12 3122.13,2609.81 3122.56,2597.84",Ottomar-Geschke-Straße,
-1093065755,1562864501,150735926,3,highway.residential,"3174.92,2562.74 3173.57,2555.29 3172.22,2547.98 3147.64,2398.02 3146.01,2388.04 3147.04,2377.54 3149.87,2371.53",Westendstraße,
-1093548834#1,1597984702,cluster_1597984691_2378548254,3,highway.residential,"2735.42,1659.58 2791.42,1606.09",Zinsgutstraße,
-1093549448#0,1618738457,1597984702,3,highway.residential,"2675.62,1715.59 2678.97,1712.44 2681.44,1710.13 2711.09,1682.37 2727.01,1667.46 2735.42,1659.58",Zinsgutstraße,
-1093549448#2,cluster_10015566967_1597984714_1597984715,1597984712,3,highway.residential,"2612.01,1764.56 2617.38,1760.33 2663.40,1724.12",Zinsgutstraße,
-1093549550#0,1597984717,cluster_10015566967_1597984714_1597984715,3,highway.residential,"2532.26,1823.91 2553.29,1808.30 2598.21,1774.96",Zinsgutstraße,
-1102335607#2,38918483,671564454,3,highway.residential,"1676.44,1240.56 1661.70,1224.96 1651.57,1214.62 1640.96,1203.83",Ernst-Augustin-Straße,
-1102346414#0,10087012707,2163157217,1,highway.service,"2902.87,2731.52 2903.75,2706.32 2908.65,2692.66 2918.78,2687.07 2966.39,2672.89 2963.29,2660.92 2962.86,2659.39 2960.98,2652.68",,
-1102346414#1,10087012702,10087012707,1,highway.service,"2901.18,2787.21 2902.32,2749.56 2902.87,2731.52",,
-1113237024,10185016047,1597984770,1,highway.service,"1392.17,2171.47 1384.70,2155.00 1433.41,2106.41",Neltestraße,
-1115998577,10207308307,10207308305,1,highway.service,"379.10,1420.65 385.72,1426.19 390.16,1429.90",,
-1115998579,10207318721,10207318719,1,highway.service,"484.83,1304.49 491.45,1310.01 496.10,1314.01",,
-1115998580,10207318724,10207318722,1,highway.service,"458.67,1333.22 452.39,1327.50 451.22,1326.38",,
-1115998581,10207318727,10207318725,1,highway.service,"467.50,1323.52 460.92,1317.89 460.01,1316.94",,
-1115998582,10207318730,10207318728,1,highway.service,"435.92,1358.21 429.97,1352.75 428.40,1351.38",,
-1117716289,10222726382,10222726377,1,highway.service,"480.80,1555.50 487.94,1547.28 503.35,1529.88",,
-1117718165,5564694996,10222726703,1,highway.service,"1625.46,1188.05 1610.41,1202.66 1608.41,1206.65 1608.95,1209.98",,
-1118341301,10228289850,10228289857,1,highway.service,"3127.88,2552.65 3119.76,2518.21 3119.10,2516.90 3117.94,2515.70 3116.51,2514.90 3114.78,2515.13 3101.42,2522.86 3092.62,2527.74",,
-1118380198,677322776,1613212051,10,highway.tertiary,"3081.64,2508.11 3078.47,2502.30 3003.29,2364.63 2985.09,2323.81",Ottomar-Geschke-Straße,
-1125710844#0,10294012684,1560224480,4,highway.unclassified,"317.82,1007.63 315.66,1012.50 306.82,1021.82 264.80,1069.55 258.50,1076.53",James-Franck-Straße,
-1125710844#1,607684229,10294012684,4,highway.unclassified,"323.95,925.41 318.47,998.83 317.82,1007.63",James-Franck-Straße,
-1125710845,cluster_1560223721_1560223744,1560223834,4,highway.unclassified,"340.63,701.88 340.14,708.52 339.88,711.94 337.30,746.49",James-Franck-Straße,
-1125803942,10294854710,10294854713,1,highway.service,"497.28,1931.29 490.93,1926.23 489.59,1925.15 484.65,1921.10 475.58,1919.29 445.23,1893.07",,
-1130887422#0,cluster_1560223745_671564302,1560223943,4,highway.unclassified,"454.04,710.01 453.50,716.53 451.56,743.16 448.13,790.23 447.74,795.38",Schwarzschildstraße,
-1130887422#2,1560223615,cluster_1560223745_671564302,4,highway.unclassified,"460.53,626.04 460.22,629.96 455.17,693.01 454.58,700.52",Schwarzschildstraße,
-11389403#0,cluster_695674949_695674956,101335910,10,highway.tertiary,"2692.82,2041.07 2884.09,2145.74 2898.23,2153.26 2904.37,2156.69 2921.04,2165.40 2924.30,2167.01 2925.66,2167.67",Dörpfeldstraße,
-11389403#1,cluster_536402412_695689636_94964457,cluster_695674949_695674956,10,highway.tertiary,"2594.69,1987.36 2692.82,2041.07",Dörpfeldstraße,
-11389571#0,257742687,6360669169,3,highway.residential,"3158.06,2677.67 3141.51,2646.52 3137.66,2641.92",Ottomar-Geschke-Straße,
-11389571#2,101340856,681294528,3,highway.residential,"3250.85,2855.91 3210.15,2777.12 3175.48,2710.79",Ottomar-Geschke-Straße,
-11391856#1,101373518,cluster_536402412_695689636_94964457,3,highway.residential,"2551.76,2067.78 2589.39,1996.62",Waldstraße,
-11391856#3,cluster_203383768_5555354243,203389395,3,highway.residential,"2390.14,2190.07 2462.58,2136.62",Waldstraße,
-11391856#5,101373519,cluster_203383768_5555354243,3,highway.residential,"2309.25,2249.96 2387.27,2192.19",Waldstraße,
-11391888#1,675706816,675707977,3,highway.residential,"997.81,3001.30 997.04,2963.53 990.25,2928.19",Sanddornstraße,
-11391888#2,675705959,675706816,3,highway.residential,"997.01,3047.97 998.30,3025.20 997.81,3001.30",Sanddornstraße,
-11391917,364782826,101375410,3,highway.residential,"504.51,3106.37 499.69,3122.24 478.10,3190.79 472.19,3209.71 468.49,3222.33 460.13,3248.08 457.62,3260.75 454.78,3278.41 454.84,3281.40 455.11,3295.07 457.37,3313.83 458.04,3319.41 459.44,3323.35 463.68,3335.31 473.34,3362.56",Rudower Straße,
-114024899,1292264824,1298598000,1,highway.service,"867.47,706.37 864.15,710.62 861.86,713.55",,
-114024901,1292264851,1292264836,1,highway.service,"744.32,492.01 700.54,497.68 694.96,501.79 692.13,507.72 702.24,593.99",,
-114024904,1292264947,1292264935,1,highway.service,"885.19,721.01 911.65,689.66 915.47,687.46",,
-114024905,1292283250,1292264941,1,highway.service,"863.70,692.86 885.97,666.48 892.12,659.99",,
-114024906,1292283271,1292264938,1,highway.service,"878.60,705.57 901.04,678.96 906.53,672.18",,
-114692703,1298547030,6454033913,1,highway.service,"1167.30,578.37 1160.23,572.70 1155.05,568.54 1144.48,560.05 1126.40,546.69 1116.64,553.62",,
-114693738#0,1298553913,5839442288,1,highway.service,"1001.01,534.82 1005.96,532.01 1014.21,527.78 1065.91,512.77 1076.86,510.39 1074.40,477.64",,
-114697065#0,5839442292,1298553913,1,highway.service,"910.96,549.64 924.23,562.05 954.32,587.10 962.55,585.57 968.16,582.15 974.08,574.67 977.26,564.56 985.05,550.58 1001.01,534.82",,
-114949101#0,1292264836,1292264830,1,highway.service,"702.24,593.99 652.16,600.11 638.49,601.76",,
-114952399#0,1293996771,294168972,1,highway.service,"879.50,560.11 873.45,567.37 871.44,569.78 870.30,571.16 864.02,578.70",,
-114952399#1,1293996765,1293996771,1,highway.service,"891.16,546.12 885.28,553.17 879.50,560.11",,
-115227681,294168972,1371616230,1,highway.service,"864.02,578.70 858.78,583.96 857.73,585.12 849.60,594.08 840.31,604.60 836.83,605.83 832.69,604.99 786.48,568.73 768.52,591.78",,
-115227682#0,1371616230,1302814166,1,highway.service,"768.52,591.78 713.59,656.63 709.95,657.86",,
-115466410,1304505782,6913125201,1,highway.service,"874.22,658.33 869.34,654.31 852.11,640.15 838.98,628.45",,
-116391654,1312160363,cluster_1299913222_1560223542,1,highway.service,"1114.15,454.08 1199.87,524.16 1200.74,525.38 1208.17,531.01",,
-117951616#0,6366040030,1652675141,10,highway.tertiary,"850.42,1887.11 913.22,1943.85 918.62,1948.72",Igo-Etrich-Straße,
-117951616#5,cluster_1652675133_252684013,6366040034,10,highway.tertiary,"683.84,1736.66 691.22,1742.39 694.78,1745.36 719.49,1768.15",Igo-Etrich-Straße,
-121950231,cluster_1363845644_254313562,1363846058,1,highway.service,"1366.13,2929.81 1370.73,2870.54",Hartriegelstraße,
-122666828,1370020147,1370020156,1,highway.service,"741.93,801.11 731.81,829.41 756.28,839.16 760.26,847.20 752.21,869.52 749.30,876.86",,
-125399001#0,295850645,1570019888,1,highway.service,"1841.24,756.78 1787.74,716.30 1780.77,712.78 1773.59,709.14 1766.76,706.37",Am Studio,
-125399001#1,1560592622,295850645,1,highway.service,"1862.79,780.34 1862.88,777.56 1862.54,776.09 1861.65,773.78 1841.24,756.78",Am Studio,
-125399001#2,295850513,1560592622,1,highway.service,"1852.41,948.19 1867.54,936.73 1885.89,909.69 1889.63,879.95 1893.96,846.21 1892.44,831.71 1883.38,814.40 1862.34,798.83 1862.79,780.34",Am Studio,
-125399001#3,295850640,295850513,1,highway.service,"1719.70,805.51 1710.15,817.83 1766.86,869.79 1852.41,948.19",Am Studio,
-125399002,295850640,1560223962,1,highway.service,"1719.70,805.51 1713.08,800.02 1710.13,797.58 1707.62,795.50 1697.96,787.38 1696.85,786.45 1690.23,781.10",Am Studio,
-133858189,837749843,cluster_1472997323_837749842,1,highway.service,"598.07,931.43 607.66,906.67",,
-133858466,cluster_1472997323_837749842,1472997321,1,highway.service,"611.65,908.61 619.73,893.02",,
-133858467#2,1472997325,1472997328,1,highway.service,"548.33,920.15 543.39,930.10 553.76,934.95 558.71,925.00",,
-134100875,1474864422,1474864406,1,highway.service,"697.29,979.02 689.33,975.11 671.37,966.18 668.11,964.85 666.13,963.72 660.09,960.76",,
-134100876,838456023,838456012,1,highway.service,"689.95,993.90 684.73,991.34 664.20,981.25 661.96,980.15 660.50,979.44 652.88,975.70",,
-135777010#0,664166104,456893959,10,highway.tertiary,"120.34,1227.59 113.80,1221.63 78.32,1189.36 73.05,1181.04 69.74,1172.48 68.38,1152.91 92.43,1021.80",Hermann-Dorner-Allee,
-135777010#1,1560225335,664166104,10,highway.tertiary,"239.50,1335.75 232.30,1329.53 126.96,1233.51 120.34,1227.59",Hermann-Dorner-Allee,
-135777010#2,664166107,1560225335,10,highway.tertiary,"358.11,1443.71 351.53,1438.00 245.34,1341.09 239.50,1335.75",Hermann-Dorner-Allee,
-135777010#3,10222726382,664166107,10,highway.tertiary,"480.80,1555.50 428.99,1508.35 420.72,1500.83 416.05,1496.63 364.41,1449.57 358.11,1443.71",Hermann-Dorner-Allee,
-135777010#4,311417477,10222726382,10,highway.tertiary,"620.28,1682.14 590.32,1655.06 582.03,1647.14 578.03,1643.25 537.54,1606.87 521.58,1592.85 511.50,1583.20 494.25,1567.61 486.46,1560.41 481.53,1556.16 480.80,1555.50",Hermann-Dorner-Allee,
-137309186,1597984760,1526800754,1,highway.service,"1338.02,2020.72 1302.38,2059.09 1285.42,2079.74",Neltestraße,
-137309189,cluster_1506187399_9838637672,9838637670,1,highway.service,"1252.09,1974.10 1269.58,1989.21 1299.53,2014.62",,
