id,type,color,fill,layer,shape
118377362,amenity.school,"237,199,199",1,-2.00,"2194.400692,1330.337750 2167.787737,1314.304376 2145.988675,1301.957538 2093.418714,1270.423462 2062.921265,1309.512400 2066.340267,1311.457614 2077.848679,1318.314029 2078.955875,1318.926000 2098.760240,1330.823046 2122.907108,1345.281091 2126.438177,1347.390995 2112.174811,1365.880765 2096.340708,1386.404943 2073.304235,1423.808459 2111.749453,1447.614808 2152.155329,1473.240230 2209.855241,1394.562293 2254.189813,1423.147286 2282.324611,1384.896927 2205.685539,1336.909651 2211.921835,1325.735704 2220.935706,1330.973508 2226.349540,1321.173539 2241.962182,1329.572473 2247.262161,1319.518900 2255.622057,1324.024399 2267.424661,1303.859788 2225.193775,1278.147627 2194.400692,1330.337750"
124816442,amenity.school,"237,199,199",1,-2.00,"874.564990,2931.614439 859.734635,2894.730502 936.117330,2863.045031 945.584566,2852.526825 948.290108,2854.852940 950.834370,2856.937546 958.607450,2853.708489 991.749595,2815.203606 1067.186495,2728.150331 1096.201391,2798.027021 1039.270299,2811.778878 1044.164435,2833.487951 1044.836612,2836.456274 1040.776203,2839.721029 1041.661560,2855.859139 1030.767395,2858.728661 1036.926454,2884.807108 1012.280999,2888.445670 963.663030,2900.393866 924.495272,2915.021029 923.770675,2913.155339 909.220336,2919.092619 910.929554,2924.242935 886.772425,2933.491236 884.638013,2927.826620 874.564990,2931.614439"
24154870,amenity.school,"237,199,199",1,-2.00,"1884.615884,1906.909332 1940.579219,1825.536809 1959.454144,1839.310117 1965.110713,1830.139155 1821.254021,1737.112565 1758.213053,1826.929706 1806.304483,1859.774305 1846.906020,1888.775755 1849.848112,1884.276925 1864.359165,1894.076536 1865.576144,1892.716817 1872.706015,1897.624734 1884.615884,1906.909332"
24155176,amenity.school,"237,199,199",1,-2.00,"2401.921102,2188.838625 2420.805326,2214.073917 2437.652880,2202.131336 2444.161303,2210.690922 2454.026172,2203.172016 2470.055663,2224.737219 2444.875670,2243.644955 2434.130709,2229.962938 2361.292995,2284.407620 2352.842922,2274.640875 2348.009072,2268.896268 2322.469661,2248.145227 2401.921102,2188.838625"
24230892,amenity.school,"237,199,199",1,-2.00,"397.775549,3140.466801 414.841357,3122.292641 424.648611,3086.252583 496.000524,3106.413825 495.382951,3108.462652 471.295126,3188.890008 455.589336,3241.340221 453.750091,3247.475321 418.328684,3259.604443 346.725190,3199.481900 348.494222,3194.572146 383.948115,3156.427309 395.949827,3158.896806 401.657412,3152.771593 405.846373,3148.179564 397.775549,3140.466801"
354093830,amenity.school,"237,199,199",1,-2.00,"752.543302,2495.346983 785.607239,2528.398809 807.896865,2547.884118 811.758027,2543.844356 808.173738,2540.779582 827.283487,2517.958876 838.713469,2528.018483 851.535183,2513.259286 848.079569,2510.503414 861.071051,2495.062054 801.093070,2441.806232 752.543302,2495.346983"
