id,type,color,fill,layer,shape,nearest_edge
118377362,amenity.school,"237,199,199",1,-2.0,[2166.36619924 1344.77715003],-311299994
124816442,amenity.school,"237,199,199",1,-2.0,[1795.79581831 1816.90469315],-35554225#4
24154870,amenity.school,"237,199,199",1,-2.0,[1731.5040826  1910.73383676],-679894158#0
24155176,amenity.school,"237,199,199",1,-2.0,[1746.02814141 1962.34022615],-412894108
24230892,amenity.school,"237,199,199",1,-2.0,[1688.38940079 2044.45756609],142575720#1
354093830,amenity.school,"237,199,199",1,-2.0,[1633.84680153 2100.85405491],-41320579#3
