dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 03:02:00,carIn13060:1,"[839.0139303648751, 1176.2835874198186]","[13.529547876356, 52.432819778375546]",58.88279255605812,887919959#1,887919959#1_0,3938.71,317.94,28
2022-12-04 03:02:00,carIn20505:1,"[1943.4262530135618, 1619.9619176519632]","[13.545655911602882, 52.4370081335522]",26.355161898479174,-178028204#3,-178028204#3_0,2507.19,60.53,28
2022-12-04 03:02:00,carIn33455:1,"[1872.8053113946844, 1580.2381146407356]","[13.544629163345991, 52.43663834247353]",29.324855601808917,-178028204#7,-178028204#7_0,2924.66,59.62,28
2022-12-04 03:02:00,h14858c1:1,"[831.4205699885212, 548.9498653325489]","[13.529623893231353, 52.42718033068749]",22.509122677668927,-172014854#0,-172014854#0_0,12.78,49.68,28
2022-12-04 03:02:00,h61298c1:1,"[805.0426307510481, 1208.274839780181]","[13.52903878946461, 52.43310108109939]",17.490111767943898,:664166211_8,:664166211_8_0,485.88,76.96,28
2022-12-04 03:02:00,h91509c1:5,"[628.2782856072041, 832.6058360985885]","[13.526552261131124, 52.429692459010695]",60.0074463086208,142575690#4,142575690#4_0,90.07,76.75,28
2022-12-04 03:02:00,randUni100082:1,"[1547.2690024063272, 1829.9536159874563]","[13.53976785207707, 52.43882360844388]",2.078185814575689,140964906,140964906_0,2645.87,147.09,28
2022-12-04 03:02:00,randUni10081:1,"[1441.6552771164215, 380.66550706027436]","[13.538645667418043, 52.42577913163712]",50.32412756899413,318210371#0,318210371#0_0,537.72,96.31,28
2022-12-04 03:02:00,randUni101392:1,"[2562.6721566482443, 1135.4027646033396]","[13.554904723866823, 52.43276484599866]",0.0,113575152#8,113575152#8_0,2352.43,208.64,28
2022-12-04 03:02:00,randUni10951:1,"[1656.2906577168342, 1443.5991341449271]","[13.541485801617567, 52.43537108496689]",0.0,318210357#0,318210357#0_2,19.23,322.76,28
2022-12-04 03:02:00,randUni11688:1,"[2891.5155051472166, 2463.0957515487894]","[13.559350876631196, 52.44475640865316]",56.83060099683923,23793394,23793394_0,1777.75,10.65,28
2022-12-04 03:02:00,randUni1640:1,"[2281.3875080764883, 752.9171219088662]","[13.550881460904511, 52.42927666439679]",33.881652082145344,190928926#0,190928926#0_1,1036.39,222.49,28
2022-12-04 03:02:00,randUni18107:1,"[1154.1022254543666, 1185.9627207531496]","[13.534178041855291, 52.43296429596745]",44.57323621334971,:cluster_1560225011_38918531_5,:cluster_1560225011_38918531_5_0,1550.74,317.8,28
2022-12-04 03:02:00,randUni19073:1,"[1988.6597002038313, 437.4607970774726]","[13.546670780874248, 52.42638870069661]",32.72347672204178,52243916#0,52243916#0_0,1693.2,48.29,28
2022-12-04 03:02:00,randUni21430:1,"[3198.370678940721, 1840.1624472939309]","[13.564046217948011, 52.43921272219627]",28.321858355742446,1085132033#4,1085132033#4_0,1178.73,158.91,28
2022-12-04 03:02:00,randUni34803:1,"[1903.256054989315, 1601.1932961273385]","[13.545070747442864, 52.43683218552734]",25.035890552296124,:cluster_237254713_3234767440_1,:cluster_237254713_3234767440_1_0,1150.15,241.23,28
2022-12-04 03:02:00,randUni37104:1,"[3130.1618710808752, 2632.052173737667]","[13.562811494356689, 52.44631760563766]",17.69557230777948,-1093045352#3,-1093045352#3_1,613.66,209.81,28
2022-12-04 03:02:00,randUni48563:1,"[197.5741343817498, 2400.161157601377]","[13.51974758045625, 52.44370144197277]",18.999421261531797,810461499#2,810461499#2_0,89.22,227.94,28
2022-12-04 03:02:00,randUni53004:1,"[1733.1027185386959, 1540.0053917636465]","[13.542586724479154, 52.436251451906266]",27.94778640385015,187123053#2,187123053#2_0,27.73,146.25,28
2022-12-04 03:02:00,randUni53906:1,"[2426.565445797298, 1893.924541146408]","[13.55268002276074, 52.43955752271288]",46.730778133134386,-147053824#3,-147053824#3_0,1343.39,62.7,28
2022-12-04 03:02:00,randUni58276:1,"[3002.6599336516592, 2366.804984873757]","[13.561013807661908, 52.44391090560165]",42.199042676447675,-1118380198,-1118380198_0,337.93,208.64,28
2022-12-04 03:02:00,randUni62740:1,"[2641.638582668143, 1233.9738972087696]","[13.556036895265821, 52.43366493337742]",34.85150642956607,113575152#6,113575152#6_0,28.27,223.59,28
2022-12-04 03:02:00,randUni63572:1,"[2288.2779792442416, 743.2417540434863]","[13.55098562305436, 52.429190949417176]",38.61749153123487,27087586#0,27087586#0_1,1448.49,44.31,28
2022-12-04 03:02:00,randUni64346:1,"[2166.2091139202103, 1748.4680802368691]","[13.548894092014375, 52.438203319950375]",22.341381662064503,1072269112,1072269112_0,1499.29,239.75,28
2022-12-04 03:02:00,randUni65105:1,"[1340.9129660125066, 801.7764804487732]","[13.537039269882545, 52.429545496033924]",44.39513168834754,:1560223984_7,:1560223984_7_0,70.88,140.05,28
2022-12-04 03:02:00,randUni69385:1,"[2395.800776030877, 1634.0233441279292]","[13.552304158538965, 52.43721614432025]",23.94281104465678,-25771472#1,-25771472#1_0,90.27,238.44,28
2022-12-04 03:02:00,randUni91160:1,"[2565.0987445508545, 1467.8624458306074]","[13.554842648034287, 52.435753240536656]",16.625493843983513,98256382#0,98256382#0_0,2735.33,58.94,28
2022-12-04 03:02:00,randUni94835:1,"[1599.5120329405918, 2140.2951196417926]","[13.540443957388673, 52.441622245970414]",26.400268656097314,-177615728#0,-177615728#0_0,1891.39,272.55,28
2022-12-04 03:03:00,carIn13060:1,"[162.95903307238433, 1183.2921419471108]","[13.519605120160913, 52.4327587219765]",59.05913429277527,38915289#1,38915289#1_0,4772.38,317.66,27
2022-12-04 03:03:00,carIn20505:1,"[2437.280302936376, 1899.4971303450477]","[13.552835957997132, 52.43960953450383]",46.128761754690885,:1597984723_7,:1597984723_7_0,3074.75,62.06,27
2022-12-04 03:03:00,carIn33455:1,"[2317.730652210922, 1832.8801067632955]","[13.551097461130919, 52.43898928984535]",46.52377981300251,-147053824#4,-147053824#4_0,3436.37,60.11,27
2022-12-04 03:03:00,h14858c1:1,"[1106.6065508457766, 975.1724097269191]","[13.533542556606863, 52.43106118981912]",48.11050561981998,143308542#8,143308542#8_0,638.16,46.85,27
2022-12-04 03:03:00,h61298c1:1,"[1218.670850078625, 1085.8859183616205]","[13.535157288300903, 52.43207663659489]",36.19439833113966,143308542#10,143308542#10_0,1066.47,45.21,27
2022-12-04 03:03:00,h91509c1:5,"[917.7084535446573, 852.3731306157333]","[13.53080182092013, 52.42992307008327]",58.36425096957065,143308542#2,143308542#2_0,804.97,53.31,27
2022-12-04 03:03:00,randUni10081:1,"[2095.245768071805, 540.1006686944282]","[13.548207491019594, 52.427330419808754]",50.29373459162232,-43660343#1,-43660343#1_0,1261.56,45.3,27
2022-12-04 03:03:00,randUni101392:1,"[2120.478750083269, 578.677203572416]","[13.548567082836067, 52.42768167795635]",50.913182625737974,:261634211_0,:261634211_0_0,3067.96,224.26,27
2022-12-04 03:03:00,randUni101579:1,"[1610.3871089681838, 715.0560218982181]","[13.541027070589447, 52.428815063871184]",43.91777888662388,:5548037107_2,:5548037107_2_0,492.21,51.3,27
2022-12-04 03:03:00,randUni10951:1,"[1656.2906577168342, 1443.5991341449271]","[13.541485801617567, 52.43537108496689]",0.0,318210357#0,318210357#0_2,19.23,322.76,27
2022-12-04 03:03:00,randUni11688:1,"[2964.942569729071, 2252.4227206122987]","[13.560492580426004, 52.442876150050616]",13.81264681244783,-25042028#2,-25042028#2_0,2569.03,186.88,27
2022-12-04 03:03:00,randUni1640:1,"[1888.8182218654963, 379.26930465291997]","[13.545220139597202, 52.42584765768027]",40.34468154001774,:cluster_1560223271_94487954_0,:cluster_1560223271_94487954_0_0,1581.6,239.62,27
2022-12-04 03:03:00,randUni18107:1,"[689.6081427709819, 1727.3983682781109]","[13.527185869007303, 52.43774548127672]",13.141110421798873,231626692#1,231626692#1_1,2264.9,319.74,27
2022-12-04 03:03:00,randUni19073:1,"[2409.583238346085, 876.1345323164238]","[13.552730034411585, 52.430407158507435]",53.24784034970776,318210374,318210374_0,2301.78,37.39,27
2022-12-04 03:03:00,randUni21430:1,"[2973.416562916301, 1490.2133529474136]","[13.560840468898354, 52.43602735151718]",48.065164940947504,600369825,600369825_0,1651.36,221.34,27
2022-12-04 03:03:00,randUni34803:1,"[1467.8259557866545, 1361.0268420005634]","[13.53873900469399, 52.434594760145806]",13.691219353984852,318210389#0,318210389#0_0,1648.21,238.66,27
2022-12-04 03:03:00,randUni37104:1,"[2903.6640818899714, 2158.128271550865]","[13.559618971144019, 52.44201770980723]",32.8785067959108,11389403#0,11389403#0_0,1156.49,242.4,27
2022-12-04 03:03:00,randUni39391:1,"[2768.456358170767, 2440.928704658494]","[13.557547417046242, 52.444535119443024]",25.810982031202574,-142810555#1,-142810555#1_0,32.59,178.44,27
2022-12-04 03:03:00,randUni48563:1,"[828.1676287134533, 2047.969091248457]","[13.529127513141905, 52.44065191562406]",75.6611098329304,-206889085,-206889085_0,1008.6,138.44,27
2022-12-04 03:03:00,randUni53004:1,"[2254.9303378068694, 1513.068505214985]","[13.550268263163938, 52.43610369242764]",38.28241111989636,23913524,23913524_0,717.43,142.04,27
2022-12-04 03:03:00,randUni58276:1,"[2471.1493408581364, 1921.8440782545204]","[13.553327469333617, 52.43981647072014]",45.67179517613982,147053824#2,147053824#2_0,1075.37,240.95,27
2022-12-04 03:03:00,randUni62740:1,"[2137.6408189229255, 1216.4113548397897]","[13.548631111454455, 52.433416354939816]",35.345485742498646,-149611514#4,-149611514#4_0,729.67,239.15,27
2022-12-04 03:03:00,randUni64346:1,"[1806.3825205855685, 1544.6262312098374]","[13.54366294847596, 52.43630625835592]",24.91548542395727,166142947,166142947_0,1912.89,238.54,27
2022-12-04 03:03:00,randUni65105:1,"[1827.5802979502305, 351.69084797758495]","[13.54432800188794, 52.42558871766486]",44.12800665087671,142575667#0,142575667#0_1,798.79,82.47,27
2022-12-04 03:03:00,randUni68408:1,"[2961.617435846104, 2223.5943389236186]","[13.560452122714212, 52.442616461353026]",36.95975266220323,-25042028#1,-25042028#1_0,448.27,186.47,27
2022-12-04 03:03:00,randUni68760:1,"[2366.395055306237, 1911.8342352046302]","[13.551789857731313, 52.43970765021835]",22.164424996968062,140964927#3,140964927#3_0,334.6,143.65,27
2022-12-04 03:03:00,randUni69385:1,"[1876.6094099593784, 1316.7100161198325]","[13.54476314023901, 52.43427060151853]",46.761806558370246,149611526,149611526_0,698.74,238.16,27
2022-12-04 03:04:00,carIn20505:1,"[3002.8880573539705, 2359.7906775974634]","[13.561019217333099, 52.44384790576131]",48.55112205479595,25042028#4,25042028#4_0,3848.43,24.04,27
2022-12-04 03:04:00,carIn33455:1,"[2967.1252727514207, 2243.6231194731954]","[13.560527260694048, 52.44279745495104]",45.64916389940092,:283115292_6,:283115292_6_0,4224.64,6.64,27
2022-12-04 03:04:00,carIn43:1,"[106.75081906981504, 1213.0494171673495]","[13.518769674119312, 52.43301580832039]",49.23821783601001,135777010#0,135777010#0_0,206.27,47.72,27
2022-12-04 03:04:00,h14858c1:1,"[1488.2903221209692, 1346.3041916816169]","[13.539044301760173, 52.4344661608081]",47.605750775912554,976351540#0,976351540#0_0,1170.98,58.12,27
2022-12-04 03:04:00,h61298c1:1,"[1555.1364008062747, 1386.698393823817]","[13.540015244798063, 52.434841339547695]",40.151484114758,976351540#0,976351540#0_0,1520.13,58.73,27
2022-12-04 03:04:00,h91509c1:5,"[1334.9815321396436, 1201.049455056674]","[13.536833208643165, 52.433132828386555]",45.77961222509416,998243552#0,998243552#0_0,1351.78,44.99,27
2022-12-04 03:04:00,randUni10081:1,"[2565.310720580989, 1106.010913389885]","[13.554952163137111, 52.432501162858514]",0.0,283006416#1,283006416#1_0,2000.36,27.83,27
2022-12-04 03:04:00,randUni101392:1,"[1392.9623127464129, 395.7327035777634]","[13.537925318564591, 52.42590569571191]",48.27101957364474,-318210371#0,-318210371#0_0,3879.23,276.54,27
2022-12-04 03:04:00,randUni10951:1,"[1381.6722537006845, 1275.7384162283327]","[13.537497529152475, 52.433812579029826]",49.11619654904312,670062912#0,670062912#0_1,318.16,225.33,27
2022-12-04 03:04:00,randUni1640:1,"[1436.1236779794126, 695.0067749235258]","[13.538470891348018, 52.42860322978581]",39.92337540251927,-142575704#5,-142575704#5_0,2226.4,319.56,27
2022-12-04 03:04:00,randUni19073:1,"[3015.7910106348954, 1522.0857248796535]","[13.56145426510078, 52.436321385605034]",54.54001490286179,26814968#1,26814968#1_0,3199.61,40.86,27
2022-12-04 03:04:00,randUni21430:1,"[2453.1817303151965, 953.8901692405152]","[13.553348191808354, 52.431113826852446]",51.488844467693774,40191605#7,40191605#7_1,2409.76,217.59,27
2022-12-04 03:04:00,randUni31587:1,"[2232.475187896992, 2087.753140587744]","[13.549768459425929, 52.441264566536674]",27.842048188986574,:248077378_13,:248077378_13_0,73.63,142.37,27
2022-12-04 03:04:00,randUni34803:1,"[1125.4622651999207, 1217.0945349254025]","[13.533747631453766, 52.43323886691703]",45.0568538308849,887919960#2,887919960#2_0,2130.11,317.35,27
2022-12-04 03:04:00,randUni37104:1,"[2395.720088118558, 1880.3554005811493]","[13.552230398192158, 52.43943001806796]",35.636551313602986,:220508530_1,:220508530_1_0,1735.43,241.11,27
2022-12-04 03:04:00,randUni39391:1,"[2596.0378563996223, 2156.0531663444212]","[13.555095263962176, 52.44194386288877]",27.18192349534917,:150740434_1,:150740434_1_0,443.99,183.51,27
2022-12-04 03:04:00,randUni48563:1,"[1372.3168862943023, 1440.5358282762356]","[13.537310918468433, 52.435291971179524]",43.81572806297474,-334308447#0,-334308447#0_0,1824.14,137.82,27
2022-12-04 03:04:00,randUni53004:1,"[2747.7784636908054, 1303.4589244067647]","[13.557577227372697, 52.4343084756345]",47.37021330938846,190928927#5,190928927#5_0,1474.95,53.55,27
2022-12-04 03:04:00,randUni58276:1,"[1982.0139608941008, 1645.2753064182675]","[13.546215872948455, 52.43724261298297]",27.46582749162587,178028204#1,178028204#1_0,1637.36,240.8,27
2022-12-04 03:04:00,randUni64346:1,"[1368.3498698812036, 1267.0646091600902]","[13.537304213765566, 52.433732201167174]",43.5564355145304,670062912#0,670062912#0_0,2435.66,225.32,27
2022-12-04 03:04:00,randUni68408:1,"[2460.1410953738023, 1915.728386318779]","[13.553167378003387, 52.43975952568593]",37.622962006063155,147053824#2,147053824#2_0,1048.2,240.95,27
2022-12-04 03:04:00,randUni68760:1,"[2026.8626356450197, 1670.3476815384574]","[13.546867982933138, 52.43747605524493]",21.89254469133511,178028204#1,178028204#1_0,793.63,240.79,27
2022-12-04 03:04:00,randUni69385:1,"[1423.4197043324516, 1321.9064924904796]","[13.538097665101262, 52.43423509974306]",45.07821993803571,670062912#0,670062912#0_0,1290.87,224.81,27
2022-12-04 03:04:00,randUni74092:1,"[2477.7805313326357, 1925.5280729625756]","[13.55342390598321, 52.43985077339175]",35.68327184951023,147053824#2,147053824#2_0,301.98,240.95,27
2022-12-04 03:04:00,randUni80918:1,"[1577.057544012937, 2001.646401094173]","[13.540154914791815, 52.440372083095525]",31.804702016287486,23913527,23913527_0,120.75,198.95,27
2022-12-04 03:04:00,randUni88678:1,"[733.2464086156074, 1146.499396609258]","[13.528001596470716, 52.432532746764565]",47.97908266286048,-142575655#6,-142575655#6_0,456.16,48.7,27
2022-12-04 03:04:00,randUni90239:1,"[2315.4631886154875, 1584.5874692083967]","[13.55113732459128, 52.43675737339158]",26.059339822353962,-25771472#0,-25771472#0_0,61.28,238.23,27
2022-12-04 03:05:00,carIn20505:1,"[2689.8463713689416, 2746.812080479862]","[13.556301329462572, 52.44727011233255]",46.929311053839726,31091957#0,31091957#0_0,4574.99,290.49,27
2022-12-04 03:05:00,carIn33455:1,"[2791.9149645516122, 2711.2920575148546]","[13.557813079369568, 52.4469691980862]",46.211752958714676,:101373692_0,:101373692_0_0,4965.2,295.93,27
2022-12-04 03:05:00,carIn43:1,"[728.8928064887446, 1142.675085151928]","[13.527938727158809, 52.43249757945911]",48.61170186207324,-142575655#6,-142575655#6_0,967.49,48.7,27
2022-12-04 03:05:00,h14609c1:5,"[3229.1532404748473, 2384.6423579310012]","[13.564339829554402, 52.44411170876997]",31.007004461411984,207086007,207086007_0,363.55,268.12,27
2022-12-04 03:05:00,h14858c1:1,"[1908.143797558899, 1600.2249766740726]","[13.545142910293034, 52.43682436725226]",22.960181535713506,:cluster_237254713_3234767440_9,:cluster_237254713_3234767440_9_0,1663.05,61.25,27
2022-12-04 03:05:00,h61298c1:1,"[1921.3077248380216, 1607.4610129270432]","[13.545334349048966, 52.43689178198793]",24.17865971926245,-178028204#3,-178028204#3_0,1949.06,60.53,27
