dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 00:01:00,randUni104623:1,"[2738.7554299780136, 2966.0079645575574]","[13.55695633866435, 52.449248897902216]",29.08824917821248,311299992#1,311299992#1_0,210.83,178.13,4
2022-12-04 00:01:00,randUni23475:1,"[905.7395917114109, 843.4562750059958]","[13.530628508264854, 52.42984074439848]",45.817587201179784,143308542#2,143308542#2_0,594.94,53.31,4
2022-12-04 00:01:00,randUni54987:1,"[1068.6874879944833, 947.5421283228854]","[13.532993264231365, 52.43080595046371]",26.4371693851304,143308542#8,143308542#8_0,513.04,59.67,4
2022-12-04 00:01:00,randUni57209:1,"[2420.4958651272696, 1894.3796575320368]","[13.552590627324651, 52.43956052044493]",20.5168866684946,147053824#3,147053824#3_0,31.75,242.55,4
2022-12-04 00:02:00,randUni104623:1,"[2874.9638355492857, 2448.935290305607]","[13.5591115857984, 52.44462617636876]",42.27919009945835,:297101109_2,:297101109_2_0,806.0,172.71,7
2022-12-04 00:02:00,randUni32894:1,"[2464.707635835018, 1279.3059363971781]","[13.553421889726017, 52.43404055102682]",24.266469054802847,187123437#0,187123437#0_0,299.91,59.37,7
2022-12-04 00:02:00,randUni50531:1,"[2801.472221055754, 2692.492437507478]","[13.55795917428465, 52.446801952269425]",43.39572964286828,679714112,679714112_0,249.44,122.67,7
2022-12-04 00:02:00,randUni53531:1,"[2735.9288097551625, 3025.836016178554]","[13.556897183171875, 52.44978609009719]",22.629545869446428,311299992#0,311299992#0_0,297.21,110.98,7
2022-12-04 00:02:00,randUni54987:1,"[1447.5710293890975, 1313.4517535533807]","[13.538455312200455, 52.43416350421604]",50.132751564508084,998243552#0,998243552#0_0,1040.22,45.06,7
2022-12-04 00:02:00,randUni57209:1,"[1899.5102490574327, 1599.1364232965109]","[13.545016272887548, 52.436813021817905]",30.071561959339174,:cluster_237254713_3234767440_1,:cluster_237254713_3234767440_1_0,630.64,241.23,7
2022-12-04 00:02:00,randUni81422:1,"[2122.41428654428, 869.2911429998353]","[13.548509729083982, 52.43029389506077]",50.35778838954406,318210353,318210353_0,443.25,141.78,7
2022-12-04 00:03:00,randUni104623:1,"[3041.363172876934, 1665.7063642419173]","[13.561788279932024, 52.43761674394426]",47.67412667410996,283006423#0,283006423#0_0,1615.7,154.35,13
2022-12-04 00:03:00,randUni105372:1,"[1691.2610563187945, 1908.8708910513635]","[13.54186198589126, 52.439558998566284]",28.096739802092884,-187123355,-187123355_0,92.02,145.47,13
2022-12-04 00:03:00,randUni36253:1,"[2359.423438428869, 1384.382819602132]","[13.551842775215588, 52.434965970273545]",43.26369131725926,-23913524,-23913524_0,445.16,321.5,13
2022-12-04 00:03:00,randUni36503:1,"[2885.2620331354797, 2204.094519768512]","[13.559334850101138, 52.44242753154636]",54.430987917603694,25332091#1,25332091#1_0,641.44,173.26,13
2022-12-04 00:03:00,randUni3718:1,"[686.3168107033956, 1538.614834237335]","[13.527194048239423, 52.43604822109118]",24.357685961617346,:4566425154_0,:4566425154_0_0,45.66,227.56,13
2022-12-04 00:03:00,randUni377:1,"[2529.9124290980676, 1053.2795575800928]","[13.554447175082975, 52.43202088095699]",40.772172770217004,283006416#0,283006416#0_2,538.33,29.97,13
2022-12-04 00:03:00,randUni46521:1,"[822.73796588548, 790.1183083179704]","[13.529424095517662, 52.429346205529704]",48.20260634791654,143308542#2,143308542#2_0,590.1,63.77,13
2022-12-04 00:03:00,randUni50531:1,"[2971.4731263073727, 2288.6367759342947]","[13.560578018798102, 52.443202790903754]",41.73736498004222,-25042028#2,-25042028#2_0,913.3,196.25,13
2022-12-04 00:03:00,randUni53531:1,"[2844.0704009429805, 2673.8876745610924]","[13.558591201408873, 52.44664238231538]",37.93017991720976,679714112,679714112_0,717.7,109.46,13
2022-12-04 00:03:00,randUni54987:1,"[1792.565728289701, 1532.6702244081102]","[13.543463313279174, 52.43619630250207]",28.563016462622883,-152839426,-152839426_0,1450.96,60.36,13
2022-12-04 00:03:00,randUni57209:1,"[1468.571797841416, 1361.4738910609099]","[13.538749839088194, 52.43459891347805]",5.388782958196584,318210389#0,318210389#0_0,1123.55,238.52,13
2022-12-04 00:03:00,randUni80197:1,"[658.6732887441351, 750.5866915294698]","[13.527023733521704, 52.428960894553754]",53.49646853992407,670062902#1,670062902#1_0,415.53,256.17,13
2022-12-04 00:03:00,randUni81422:1,"[1884.9175170824874, 376.3618000753061]","[13.545163652872716, 52.42582082110892]",48.21692850089173,:cluster_1560223271_94487954_0,:cluster_1560223271_94487954_0_0,1149.23,233.39,13
2022-12-04 00:04:00,randUni104623:1,"[2634.516547155218, 1226.5134701328418]","[13.555934361975492, 52.433596604291516]",46.959154474405466,113575152#6,113575152#6_0,2259.8,223.67,16
