dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 02:02:00,randUni100579:1,"[2380.397744320695, 1359.1466720101662]","[13.552158633219904, 52.434742939461394]",23.57954799210412,:1625633834_18,:1625633834_18_0,2632.3,103.91,25
2022-12-04 02:02:00,randUni103772:1,"[2580.8338252320486, 1464.815405059928]","[13.555074929838066, 52.43572868326216]",24.87274742715254,1057156828,1057156828_0,81.87,323.54,25
2022-12-04 02:02:00,randUni1059:1,"[1839.2035831325843, 1560.5398829950466]","[13.544140874725624, 52.436455223979486]",29.996208123580445,-178028204#7,-178028204#7_0,1190.68,59.62,25
2022-12-04 02:02:00,randUni14623:1,"[2280.475168415462, 751.9215131517942]","[13.550868340362234, 52.42926755203215]",26.69633613671361,190928926#0,190928926#0_1,1566.52,222.5,25
2022-12-04 02:02:00,randUni16965:1,"[3002.411871801296, 1771.665943981584]","[13.561184446740233, 52.438562081868284]",52.36462337220146,23010175#0,23010175#0_0,801.39,333.73,25
2022-12-04 02:02:00,randUni17814:1,"[1662.0476026048423, 1446.60240653222]","[13.541569565564476, 52.4353991207087]",0.5868263765689653,318210357#0,318210357#0_0,1484.83,322.74,25
2022-12-04 02:02:00,randUni25053:1,"[1820.5319144471537, 1549.4844661033321]","[13.543869578766225, 52.43635248370851]",26.049126738922737,:1906421962_7,:1906421962_7_0,1275.65,59.0,25
2022-12-04 02:02:00,randUni27048:1,"[994.1727283617018, 1362.3921069881037]","[13.531773729881701, 52.43452074994868]",14.074209829196336,318210378#1,318210378#1_0,6.21,317.55,25
2022-12-04 02:02:00,randUni28613:1,"[1634.4446592169172, 1434.354197689001]","[13.541167303099947, 52.435284034249264]",9.601742279393662,:cluster_101333380_1652675105_2169462573_11,:cluster_101333380_1652675105_2169462573_11_0,3001.55,61.82,25
2022-12-04 02:02:00,randUni32078:1,"[1967.0187807347572, 1633.2565109034929]","[13.545998916920656, 52.43713188398628]",25.662725667949953,:257749657_7,:257749657_7_0,1529.09,60.71,25
2022-12-04 02:02:00,randUni35557:1,"[553.1820487596641, 1038.2719721165608]","[13.525386430257887, 52.431527081107994]",44.44452670944825,-143308521#6,-143308521#6_0,2416.61,243.33,25
2022-12-04 02:02:00,randUni37186:1,"[1151.158149049728, 1335.7600391813673]","[13.534090073365352, 52.434310040078955]",57.67102209286909,-841345135#0,-841345135#0_0,416.1,47.45,25
2022-12-04 02:02:00,randUni37887:1,"[1103.4934060565731, 1742.5810167863308]","[13.533267773604065, 52.43795758785701]",46.09162858137248,-91218505#0,-91218505#0_0,859.86,137.88,25
2022-12-04 02:02:00,randUni40413:1,"[2332.816452037728, 1845.2420383264182]","[13.551315670665229, 52.43910310984329]",48.148409203477165,147053824#4,147053824#4_0,1819.46,240.12,25
2022-12-04 02:02:00,randUni44079:1,"[1474.274482841311, 1657.0023077012102]","[13.538745824187142, 52.43725597132511]",46.810522901127655,40191607#4,40191607#4_1,2109.2,319.04,25
2022-12-04 02:02:00,randUni48516:1,"[1605.081322819753, 1740.8413348427046]","[13.540644506683083, 52.43803321974755]",20.369966580160092,140964906,140964906_0,708.76,146.88,25
2022-12-04 02:02:00,randUni50062:1,"[1454.5519822450378, 1320.4184793632044]","[13.538555891712292, 52.43422738554848]",14.898047082819325,998243552#0,998243552#0_0,987.71,45.06,25
2022-12-04 02:02:00,randUni69558:1,"[3153.730154022377, 1680.902810819584]","[13.563436280575976, 52.437773408665734]",46.465863011940726,679285267#0,679285267#0_0,1547.3,223.61,25
2022-12-04 02:02:00,randUni69729:1,"[2526.81465437219, 1949.102585762328]","[13.554138087282093, 52.44007146710162]",41.18904202479323,-147053824#2,-147053824#2_0,2522.31,60.95,25
2022-12-04 02:02:00,randUni73011:1,"[1460.6348429940463, 1326.2282127182787]","[13.53864360954201, 52.43428070526559]",2.4793282508716983,998243552#0,998243552#0_0,1113.51,47.18,25
2022-12-04 02:02:00,randUni73976:1,"[1634.3093911829453, 1439.0548147775226]","[13.541163918652492, 52.4353262559157]",14.053972725251953,:cluster_101333380_1652675105_2169462573_14,:cluster_101333380_1652675105_2169462573_14_0,1482.65,51.79,25
2022-12-04 02:02:00,randUni82202:1,"[3015.3833002337174, 1740.576865657614]","[13.56138430731729, 52.43828499133943]",56.47556912016237,23010175#0,23010175#0_1,3550.6,329.29,25
2022-12-04 02:02:00,randUni82904:1,"[2201.0160969088906, 1765.0606540537387]","[13.549401061108462, 52.43835872468884]",38.955565536583876,:cluster_150756867_237252932_9,:cluster_150756867_237252932_9_0,2207.72,59.6,25
2022-12-04 02:02:00,randUni88955:1,"[2084.787717249537, 529.749994423248]","[13.548056791278471, 52.42723550589893]",48.71238818824955,-43660343#1,-43660343#1_0,974.07,45.3,25
2022-12-04 02:02:00,randUni9847:1,"[2172.370810728591, 632.3919333743321]","[13.549314167806058, 52.428173798141295]",54.5707324823951,43660343#0,43660343#0_0,2364.56,223.99,25
2022-12-04 02:03:00,randUni100268:1,"[1178.5874905748658, 567.498347543204]","[13.534722449781441, 52.427410399057855]",38.305455041287615,-147859765#5,-147859765#5_0,147.2,319.78,28
2022-12-04 02:03:00,randUni103772:1,"[2326.6216424990625, 1788.7719054185627]","[13.551241217917012, 52.43859447345914]",26.45611023333117,:3154697054_4,:3154697054_4_0,493.65,321.85,28
2022-12-04 02:03:00,randUni1059:1,"[2247.271557980998, 1706.2051906291315]","[13.550098656616703, 52.43783810971265]",27.724141101852883,140964907#0,140964907#0_0,1678.17,141.62,28
2022-12-04 02:03:00,randUni13429:1,"[1402.5871826345515, 1080.44421947356]","[13.537863168697486, 52.43206120236555]",42.45769093308,314415495#9,314415495#9_0,590.14,315.5,28
2022-12-04 02:03:00,randUni14623:1,"[1872.9658441663921, 370.6252453726568]","[13.544989640440223, 52.42576710210532]",52.201238729562725,48858193#0,48858193#0_0,2128.68,248.74,28
