dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 16:02:00,carIn10434:3,"[2587.5187899297357, 1991.3275776278838]","[13.555018417383982, 52.440461873672845]",26.83621001666153,:cluster_536402412_695689636_94964457_15,:cluster_536402412_695689636_94964457_15_0,757.59,173.89,145
2022-12-04 16:02:00,carIn11114:1,"[3084.0034143074927, 2515.6137515869254]","[13.56216664502483, 52.44526286878157]",45.05080496574404,-204977490#0,-204977490#0_0,995.44,209.22,145
2022-12-04 16:02:00,carIn11609:1,"[620.2225725522861, 391.8312181711475]","[13.526565939015855, 52.42572959706742]",53.72378659904284,-318210395,-318210395_0,2551.65,184.45,145
2022-12-04 16:02:00,carIn12949:3,"[714.8311308414214, 2532.8777886694447]","[13.527315383424408, 52.44498919436146]",53.44662445905341,37770623#1,37770623#1_0,2063.96,318.84,145
2022-12-04 16:02:00,carIn13273:3,"[3005.21402138065, 1509.8504287019919]","[13.561302308978286, 52.43620952906214]",53.34084144713955,:1656195449_3,:1656195449_3_0,2404.77,40.77,145
2022-12-04 16:02:00,carIn13340:1,"[322.067191516842, 2621.751694886233]","[13.521511880085095, 52.44571584472387]",73.01913930646786,-850224612,-850224612_0,734.09,140.3,145
2022-12-04 16:02:00,carIn13361:1,"[2687.1150175680064, 2036.127361372286]","[13.556469985078357, 52.44088239846577]",52.63071912595397,-11389403#1,-11389403#1_0,3360.65,61.3,145
2022-12-04 16:02:00,carIn13816:3,"[3164.307117559176, 2692.9816819078496]","[13.563295906104706, 52.44687130903796]",26.180547868964283,-11389571#1,-11389571#1_0,27.33,207.73,145
2022-12-04 16:02:00,carIn14383:1,"[2567.3862765306258, 2041.666485275051]","[13.554707528340364, 52.44091067209529]",21.859824950766704,11391856#1,11391856#1_0,3350.23,332.13,145
2022-12-04 16:02:00,carIn14734:1,"[2222.7298025937143, 672.5024104698687]","[13.550042741951579, 52.42854337012668]",53.027401369552216,10735918,10735918_1,3028.03,44.74,145
2022-12-04 16:02:00,carIn17602:1,"[1304.72898942024, 1856.3164102126052]","[13.536193204754392, 52.43901643897043]",1.1764218399833297,40191607#7,40191607#7_0,3366.89,319.34,145
2022-12-04 16:02:00,carIn18226:3,"[1525.7752077685918, 381.02747826261856]","[13.539882264174508, 52.42579766434138]",41.07963986864711,-318210371#0,-318210371#0_0,1616.65,276.31,145
2022-12-04 16:02:00,carIn20144:1,"[3054.660678025661, 1584.3543408688743]","[13.562007635696443, 52.436887974665055]",0.011546151689785667,441521943#0,441521943#0_0,1768.92,208.67,145
2022-12-04 16:02:00,carIn20327:3,"[1680.0653206354614, 1621.2768818098443]","[13.541782684338179, 52.43697225359184]",25.21201203970669,187123053#1,187123053#1_0,584.62,147.69,145
2022-12-04 16:02:00,carIn20463:1,"[677.1300343268415, 1097.9392826120934]","[13.527191021292847, 52.43208604598751]",39.537071456241335,:cluster_664166124_664166125_664166127_9,:cluster_664166124_664166125_664166127_9_0,899.05,55.01,145
2022-12-04 16:02:00,carIn20808:1,"[2133.387668538052, 1729.479668696309]","[13.548417033203526, 52.4380267391647]",24.91564256738912,1072269112,1072269112_0,2291.23,242.93,145
2022-12-04 16:02:00,carIn22624:3,"[34.87286133234473, 2171.662725483681]","[13.517423603252059, 52.441617886277236]",29.830322240637617,224731112,224731112_0,23.35,139.35,145
2022-12-04 16:02:00,carIn2270:3,"[1175.8317037781667, 1664.206253287775]","[13.53435493443927, 52.437266397688965]",44.290408925055324,334308447#7,334308447#7_0,1303.57,319.02,145
2022-12-04 16:02:00,carIn23989:1,"[707.0727988768226, 1123.4830660530138]","[13.527623638658522, 52.43232109965445]",46.72606517159846,-142575655#7,-142575655#7_0,938.43,48.63,145
2022-12-04 16:02:00,carIn24117:1,"[73.83776526036941, 1178.64750627526]","[13.51829609349147, 52.432700564744664]",46.3132091979084,135777010#0,135777010#0_0,158.25,21.12,145
2022-12-04 16:02:00,carIn24726:1,"[2438.1501657712693, 2836.735103380945]","[13.55257265355065, 52.448033030910345]",38.8349454840741,363443436,363443436_0,193.88,110.26,145
2022-12-04 16:02:00,carIn26457:3,"[1060.3893867344304, 2137.393256669687]","[13.532515992954135, 52.44149803266287]",53.37074504414725,:4614386765_3,:4614386765_3_0,2439.27,318.64,145
2022-12-04 16:02:00,carIn26543:3,"[2749.287894713249, 1644.1237263294624]","[13.557499432232207, 52.4373704505722]",24.970937390067807,-1093548834#1,-1093548834#1_0,133.52,133.69,145
2022-12-04 16:02:00,carIn27096:1,"[2235.475135203073, 1540.3324368480485]","[13.549974126326834, 52.436345216470244]",19.118813066095264,:150749047_9,:150749047_9_0,2537.03,144.97,145
2022-12-04 16:02:00,carIn27361:1,"[1141.8622954350737, 2014.0314215221565]","[13.53375101775609, 52.44040420245785]",45.035546688582926,354090677,354090677_0,1411.12,139.4,145
2022-12-04 16:02:00,carIn27475:1,"[329.3507637280677, 2123.710358122374]","[13.521768865909936, 52.44124114518268]",37.609408893596274,97206935#2,97206935#2_0,289.02,139.25,145
2022-12-04 16:02:00,carIn28097:3,"[2888.600374473318, 2203.148161918928]","[13.55938422573658, 52.44241962438296]",46.64712099009824,25332091#1,25332091#1_1,339.09,173.26,145
2022-12-04 16:02:00,carIn28279:3,"[1657.4132102706196, 1465.5232630117825]","[13.541495802024253, 52.43556832896904]",0.0,45875465,45875465_0,398.67,240.82,145
2022-12-04 16:02:00,carIn29896:3,"[1139.484279751019, 1040.403990687233]","[13.534006515277138, 52.43165344373319]",52.19727455521016,670062907#0,670062907#0_0,2229.6,225.59,145
2022-12-04 16:02:00,carIn30415:1,"[2605.0955231242624, 2514.765215909268]","[13.555122986005257, 52.44516938568034]",32.47197497932646,-140964909#1,-140964909#1_0,3469.38,345.01,145
2022-12-04 16:02:00,carIn30823:3,"[2986.3654376710056, 2321.9940910384676]","[13.560787277628602, 52.44350525377489]",45.72571983321899,:1613212051_3,:1613212051_3_0,1820.54,21.89,145
2022-12-04 16:02:00,carIn30909:1,"[3073.1895031457625, 2495.971637941947]","[13.562013340057284, 52.44508440236238]",44.27995941561723,-1118380198,-1118380198_0,917.9,208.64,145
2022-12-04 16:02:00,carIn31199:3,"[2846.63396497024, 2689.457706812035]","[13.558624339784032, 52.44678277644674]",46.51715446210174,238053689#0,238053689#0_0,4436.07,289.62,145
2022-12-04 16:02:00,carIn31574:3,"[2238.4869572857865, 683.6945807002141]","[13.550271113374857, 52.42864679976539]",47.268416519240844,10735918,10735918_0,599.21,45.12,145
2022-12-04 16:02:00,carIn31632:1,"[901.9592145457465, 1969.7628912838793]","[13.530236127314984, 52.43996254538921]",61.426049301100484,1051728169,1051728169_0,3792.6,318.61,145
2022-12-04 16:02:00,carIn32070:3,"[2888.658984110637, 2676.7017476175056]","[13.559246218451918, 52.44667566591514]",45.29498280838905,:cluster_1591359101_297091889_1,:cluster_1591359101_297091889_1_0,3554.05,287.75,145
2022-12-04 16:02:00,carIn32605:1,"[3016.014118994964, 2391.261612606203]","[13.561203056734975, 52.444133098055715]",51.656821326949036,-1118380198,-1118380198_0,4310.55,208.64,145
2022-12-04 16:02:00,carIn3314:3,"[1663.9851808262451, 1469.190033723325]","[13.541591354368233, 52.43560247563969]",0.011448279215840185,45875465,45875465_0,1013.96,240.88,145
2022-12-04 16:02:00,carIn33531:3,"[1830.3154664125968, 1287.5032613999801]","[13.544091061458307, 52.43399972899797]",49.177597194537434,149611526,149611526_0,1258.78,237.7,145
2022-12-04 16:02:00,carIn35442:3,"[2170.9558078153077, 1751.2270590669434]","[13.5489630816059, 52.43822897262693]",28.664665816272603,1072269112,1072269112_0,837.46,240.52,145
2022-12-04 16:02:00,carIn4139:1,"[349.9261240275756, 691.5571095695092]","[13.52250208054235, 52.42837373731748]",48.779096937974316,46039050#2,46039050#2_0,195.95,85.27,145
2022-12-04 16:02:00,carIn5339:1,"[1271.8607899975532, 1550.9772133454114]","[13.535800824890984, 52.43626626411142]",46.74006929566897,-334308447#3,-334308447#3_0,2165.47,137.97,145
