dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 08:02:00,bl1227012b1:7,"[2246.251615767764, 733.4555338371837]","[13.550370600268023, 52.429095422162604]",0.027922813407492926,318210360#0,318210360#0_0,42.22,137.19,279
2022-12-04 08:02:00,bl1227012b2:1,"[737.3978823236283, 756.7050866642634]","[13.528179362600248, 52.42903029686674]",40.07931334298104,143308542#0,143308542#0_0,80.48,73.48,279
2022-12-04 08:02:00,carIn10088:1,"[1975.682536821441, 1641.7484949684163]","[13.546123809387023, 52.437209771369915]",23.75163046766047,178028204#1,178028204#1_0,2371.74,240.88,279
2022-12-04 08:02:00,carIn10134:1,"[2448.682136557267, 1909.3622980873706]","[13.553000732455551, 52.43970024890942]",40.745964976598565,147053824#2,147053824#2_0,1828.21,240.95,279
2022-12-04 08:02:00,carIn10797:1,"[230.64094542898764, 3062.5038063018446]","[13.52003438294768, 52.44966018291614]",30.241787763638424,40451057,40451057_0,21.19,138.99,279
2022-12-04 08:02:00,carIn11159:3,"[621.7412406310715, 490.33939795963227]","[13.526558741565248, 52.4266152008457]",0.0,190083618#0,190083618#0_0,2018.89,182.36,279
2022-12-04 08:02:00,carIn11181:1,"[1782.6119024278846, 1530.6902168939846]","[13.543317527480832, 52.43617670426399]",25.255984956725612,166142947,166142947_0,2694.46,240.35,279
2022-12-04 08:02:00,carIn11332:1,"[1193.4331410730547, 1060.8606147217708]","[13.5347936596729, 52.43184712729891]",47.026521472773055,143308542#10,143308542#10_0,1142.38,45.24,279
2022-12-04 08:02:00,carIn11671:1,"[1321.2785300969774, 825.1697461653883]","[13.536743622702744, 52.42975216751295]",46.369254794534754,142575704#1,142575704#1_0,3074.53,139.75,279
2022-12-04 08:02:00,carIn12015:1,"[215.05342948169155, 1121.6345046404506]","[13.520389671128283, 52.432214174718524]",46.36556353616508,-38915289#1,-38915289#1_0,362.86,137.52,279
2022-12-04 08:02:00,carIn1205:1,"[1857.2482743647683, 1571.1181635255575]","[13.544403093391924, 52.43655356192748]",27.733955719121642,-178028204#7,-178028204#7_0,2906.62,59.62,279
2022-12-04 08:02:00,carIn1252:1,"[2160.5089725906414, 1741.3651046142265]","[13.548812364098104, 52.438138453913375]",27.20817583800697,-1072269112,-1072269112_0,2757.08,59.31,279
2022-12-04 08:02:00,carIn12544:1,"[1858.005074865439, 353.76017180426084]","[13.5447746837505, 52.425612821851075]",52.447525713907915,142575667#0,142575667#0_0,1888.61,77.01,279
2022-12-04 08:02:00,carIn12845:1,"[2290.8241393362973, 1821.0725614312046]","[13.550705252502302, 52.43887832140541]",38.79161079826584,147053824#5,147053824#5_0,2009.1,239.98,279
2022-12-04 08:02:00,carIn12951:1,"[1629.5643758365613, 1464.9945822975908]","[13.541086443337568, 52.435558525423204]",0.0,318210354#0,318210354#0_3,2146.19,140.98,279
2022-12-04 08:02:00,carIn13434:1,"[2676.2865797515447, 2748.4574642187013]","[13.556101395658352, 52.44728246494212]",45.10322264949898,-31091957#1,-31091957#1_0,447.93,110.45,279
2022-12-04 08:02:00,carIn1346:1,"[1004.4734303243927, 1393.6560420820942]","[13.531915857842872, 52.4348036102533]",37.96209068459925,-142575700#5,-142575700#5_0,1340.26,48.14,279
2022-12-04 08:02:00,carIn13700:1,"[2077.6049188264315, 1695.4278242171858]","[13.547606767209194, 52.437710628363035]",25.075830775844278,-178028203#2,-178028203#2_0,3159.64,59.75,279
2022-12-04 08:02:00,carIn13760:1,"[1898.5388496863343, 1594.9547593746618]","[13.545003226188713, 52.43677526380565]",25.425353077171916,:cluster_237254713_3234767440_9,:cluster_237254713_3234767440_9_0,2455.81,61.25,279
2022-12-04 08:02:00,carIn13858:1,"[753.4046611489653, 1164.6343950617388]","[13.528292570204353, 52.43269942165488]",42.40937090169887,-142575655#6,-142575655#6_0,1000.4,47.71,279
2022-12-04 08:02:00,carIn14015:1,"[857.3636491299993, 2341.745303652629]","[13.529468962961749, 52.443297516042364]",57.7941463466851,354090677,354090677_0,977.11,138.47,279
2022-12-04 08:02:00,carIn14554:1,"[3102.7915080609255, 2588.9303651601085]","[13.562421531824093, 52.44592515741868]",41.976529169030634,1118064016,1118064016_0,904.92,113.32,279
2022-12-04 08:02:00,carIn14701:1,"[129.11764407543566, 1233.302485606944]","[13.519092452377524, 52.43320194813643]",16.83577236622137,135777010#1,135777010#1_0,929.14,44.98,279
