dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 22:02:00,bl6783677b1:5,"[652.0186040852421, 480.2049568176579]","[13.527006912132856, 52.42652966588863]",43.46373656986015,320741895#0,320741895#0_0,2676.57,276.41,64
2022-12-04 22:02:00,bl6783677b2:9,"[2565.3105365735173, 1106.0105647733203]","[13.55495216053396, 52.432501159692265]",0.004216175714999838,283006416#1,283006416#1_0,2531.78,26.35,64
2022-12-04 22:02:00,carIn13026:1,"[1777.445037781972, 1524.0655011860185]","[13.543243511661052, 52.43611622935649]",28.408062953799355,-152839426,-152839426_0,2315.47,60.36,64
2022-12-04 22:02:00,carIn14588:3,"[122.03631829253725, 1226.2289926119306]","[13.518990459940627, 52.433137072429574]",22.21212063094244,:664166104_4,:664166104_4_0,3501.12,302.9,64
2022-12-04 22:02:00,carIn15605:1,"[1652.0340053802975, 1449.4636307566454]","[13.541421467502587, 52.435423019284706]",32.0826309560705,:cluster_101333380_1652675105_2169462573_12,:cluster_101333380_1652675105_2169462573_12_0,2667.07,49.25,64
2022-12-04 22:02:00,carIn22380:3,"[998.5986476764152, 2207.539102855164]","[13.531586281406138, 52.44211717494912]",51.5818458576329,153021545#3,153021545#3_0,701.22,318.63,64
2022-12-04 22:02:00,carIn23976:3,"[523.3399771514803, 1878.7347303518486]","[13.524695366690171, 52.43907510648179]",34.47705613846555,224731112,224731112_0,844.71,48.44,64
2022-12-04 22:02:00,carIn25011:3,"[767.0241240715347, 1640.3447943150477]","[13.528350386828588, 52.43697727777905]",52.124728028413145,231626692#1,231626692#1_0,3645.24,319.67,64
2022-12-04 22:02:00,carIn28606:1,"[3082.6764240791017, 2513.241191658456]","[13.562147821641656, 52.44524130821589]",50.41173431063584,-204977490#0,-204977490#0_0,898.19,209.22,64
2022-12-04 22:02:00,carIn35337:3,"[965.3984682372343, 1395.0624367113492]","[13.531340854753708, 52.434809114480785]",52.864618878947724,38915290,38915290_0,3568.68,319.55,64
