dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 01:02:00,randUni100038:1,"[2000.9458492716415, 1208.532880187488]","[13.546623441652962, 52.43332085830245]",31.93236545550923,-149611511#3,-149611511#3_0,264.16,321.33,19
2022-12-04 01:02:00,randUni11795:1,"[1460.92592319812, 1326.4764280836064]","[13.538647815925756, 52.43428298896808]",1.2502488415368134,998243552#0,998243552#0_0,871.69,47.52,19
2022-12-04 01:02:00,randUni127:1,"[1306.5723133129636, 1172.805172449531]","[13.53642388720343, 52.43287381679788]",14.856551462234927,:cluster_30618470_36268429_9,:cluster_30618470_36268429_9_0,578.92,45.53,19
2022-12-04 01:02:00,randUni17088:1,"[3226.152529632834, 1756.5217856402692]","[13.564479221337097, 52.43846596581511]",24.2617548521833,1014229941#0,1014229941#0_0,2920.15,222.87,19
2022-12-04 01:02:00,randUni21370:1,"[1195.9107907158334, 1091.3499649806092]","[13.534821001389961, 52.43212159734507]",42.75510857979822,670062907#0,670062907#0_1,2587.53,223.48,19
2022-12-04 01:02:00,randUni33824:1,"[1502.7577958594577, 1382.5304867705554]","[13.539246272299316, 52.43479436823573]",45.547848097120756,318210389#0,318210389#0_0,859.66,237.45,19
2022-12-04 01:02:00,randUni47915:1,"[633.6768299036622, 474.07077765109966]","[13.526739092533516, 52.42647117610764]",10.484839334171266,:cluster_1560223404_3273797701_8,:cluster_1560223404_3273797701_8_0,134.9,249.04,19
2022-12-04 01:02:00,randUni50673:1,"[2413.017925672498, 1310.57310487992]","[13.552652609647165, 52.43431226088559]",58.42475992466679,1066214689#0,1066214689#0_0,1053.97,141.83,19
2022-12-04 01:02:00,randUni5300:1,"[3056.2543691023698, 1587.1755735620861]","[13.562030246217036, 52.43691361537868]",24.217542507792515,441521943#0,441521943#0_0,1160.08,205.91,19
2022-12-04 01:02:00,randUni54031:1,"[2288.717165707093, 1474.976906713429]","[13.550776337878638, 52.43576743813433]",51.8032500283859,-23913524,-23913524_0,359.9,322.03,19
2022-12-04 01:02:00,randUni54589:1,"[659.6899720153502, 1087.2118425132796]","[13.526937802991474, 52.431986440491364]",27.79669492394845,143308521#9,143308521#9_0,255.2,64.08,19
2022-12-04 01:02:00,randUni55153:1,"[1333.559509179538, 402.3617066300653]","[13.53705002336932, 52.42595446999023]",47.489845665653235,-318210364,-318210364_0,2523.29,276.99,19
2022-12-04 01:02:00,randUni59320:1,"[1587.7308687886655, 1430.645457831409]","[13.540481485312803, 52.43524222533101]",43.61938533477902,206889086#0,206889086#0_0,1943.7,240.38,19
2022-12-04 01:02:00,randUni6405:1,"[2792.3907880937345, 2698.3155465393197]","[13.557823887809821, 52.446852658044214]",53.67481125095972,679714112,679714112_0,75.41,150.82,19
2022-12-04 01:02:00,randUni68150:1,"[1931.1352964105222, 386.39606178723875]","[13.545840166269981, 52.42591936225512]",48.95903098858133,:21540773_0,:21540773_0_0,293.79,57.17,19
2022-12-04 01:02:00,randUni69531:1,"[3110.4926392775565, 2921.0532395038053]","[13.562437613592081, 52.448911469104424]",23.444636986157967,152046277,152046277_0,2699.54,281.02,19
2022-12-04 01:02:00,randUni73904:1,"[2032.6880470380438, 1411.8499085413582]","[13.547030079127833, 52.43515388601244]",46.948599628013085,:1625633841_1,:1625633841_1_0,1092.2,238.72,19
2022-12-04 01:02:00,randUni81976:1,"[1590.8114811830087, 1762.7181506347297]","[13.540428159843671, 52.43822724460296]",22.658030397685877,140964906,140964906_0,383.47,146.88,19
2022-12-04 01:02:00,randUni87836:1,"[1459.4719825019001, 2131.9035190405707]","[13.53838689213322, 52.441521388112626]",27.78008114655332,:1597984771_1,:1597984771_1_0,65.98,42.9,19
2022-12-04 01:03:00,randUni100038:1,"[2325.1680423222374, 1586.8311860693382]","[13.55127937697745, 52.43677928723214]",26.330847702923805,25771472#0,25771472#0_0,913.51,58.23,18
2022-12-04 01:03:00,randUni11795:1,"[1792.4806238157007, 1239.1264596918609]","[13.543549057434056, 52.43355809631292]",51.553982410560415,461514282#1,461514282#1_0,1332.19,138.92,18
2022-12-04 01:03:00,randUni1403:1,"[1753.0670691368368, 1508.8343091089755]","[13.542889546268364, 52.43597492373957]",21.650128799866177,:1906421964_4,:1906421964_4_0,225.23,74.14,18
2022-12-04 01:03:00,randUni27314:1,"[2102.697694578929, 1713.3113777534527]","[13.547970489810714, 52.437875886941725]",26.56778582175363,:cluster_237254117_237254438_1,:cluster_237254117_237254438_1_0,273.36,241.46,18
2022-12-04 01:03:00,randUni33824:1,"[1228.5156020560667, 1124.3456020560666]","[13.535290581848848, 52.432424080748795]",29.096688908600164,670062909#0,670062909#0_1,1237.16,225.12,18
2022-12-04 01:03:00,randUni36737:1,"[359.2334049547485, 1007.4125435397295]","[13.522543985758471, 52.43121413748926]",40.21958189025265,-143308521#1,-143308521#1_0,44.82,272.96,18
2022-12-04 01:03:00,randUni4780:1,"[2638.971092072888, 1231.1796652752855]","[13.555998492360988, 52.43363934137906]",43.70097723372262,113575152#6,113575152#6_0,224.52,223.67,18
2022-12-04 01:03:00,randUni47915:1,"[1377.8957782310295, 387.9152702326159]","[13.537706140026813, 52.425832698101885]",46.76889521257334,318210371#0,318210371#0_0,889.1,97.04,18
2022-12-04 01:03:00,randUni49708:1,"[1898.5799927995595, 314.57054711404396]","[13.545382797939311, 52.42526794945811]",26.393305916348094,81639678,81639678_0,137.53,40.41,18
2022-12-04 01:03:00,randUni5300:1,"[2593.7908911837203, 1181.5078869278716]","[13.555348745231376, 52.43318480430514]",39.1994280237747,113575152#8,113575152#8_0,1778.65,217.56,18
2022-12-04 01:03:00,randUni54031:1,"[1658.0517758749254, 1435.9922798804168]","[13.541513956169396, 52.43530303874681]",53.089213218630405,318210357#0,318210357#0_3,1175.06,322.72,18
2022-12-04 01:03:00,randUni54589:1,"[1260.9043952365892, 1132.1377850468643]","[13.535764500889313, 52.43250001053803]",54.632393500911235,143308552#0,143308552#0_1,1090.01,45.33,18
2022-12-04 01:03:00,randUni55153:1,"[1141.2955326914794, 748.3256251119185]","[13.534120254550134, 52.4290287622727]",2.0859746667764005,143308505#1,143308505#1_0,3126.0,139.55,18
2022-12-04 01:03:00,randUni59320:1,"[1227.6871561172406, 1128.034025942645]","[13.535277301303264, 52.432457079023955]",33.57983983932273,670062909#0,670062909#0_0,2416.9,225.12,18
2022-12-04 01:03:00,randUni6405:1,"[2882.318025386903, 2146.5962333731395]","[13.559308411624643, 52.4419102418282]",51.70067199617737,11389403#0,11389403#0_0,934.59,241.82,18
2022-12-04 01:03:00,randUni68150:1,"[2303.9126506355715, 755.757237339859]","[13.551211809147473, 52.429306248372676]",48.09253490629778,27087586#0,27087586#0_0,819.28,42.13,18
2022-12-04 01:03:00,randUni81976:1,"[1657.4155828640912, 1465.5246187794805]","[13.541495836510755, 52.43556834158418]",0.03277749538939523,45875465,45875465_0,783.51,240.82,18
2022-12-04 01:03:00,randUni87836:1,"[1700.1377853202796, 1895.9687902411956]","[13.541996357874913, 52.43944465231283]",26.121102874938558,-187123355,-187123355_0,521.54,145.47,18
2022-12-04 01:04:00,randUni18000:1,"[1703.4556711677362, 1376.5258341523079]","[13.542199253990745, 52.43477682485345]",54.55195344826769,1102336903#1,1102336903#1_2,485.87,325.73,17
2022-12-04 01:04:00,randUni27314:1,"[1657.121013249576, 1465.356293285472]","[13.541491554835298, 52.43556677534887]",45.566333136317446,45875465,45875465_0,783.79,240.78,17
2022-12-04 01:04:00,randUni32682:1,"[1656.4019350508104, 1658.8678793094687]","[13.541423547013908, 52.43730580595838]",27.32627250650822,187123033#1,187123033#1_0,212.23,148.04,17
2022-12-04 01:04:00,randUni33824:1,"[761.5787897850602, 1176.4013704791253]","[13.528409238676598, 52.43280667128923]",46.18070503880956,142575655#6,142575655#6_0,1892.83,227.73,17
2022-12-04 01:04:00,randUni36737:1,"[374.3466164291328, 496.2602694974704]","[13.522919803423582, 52.42662302967866]",33.211577425952804,190083610#1,190083610#1_1,613.59,96.5,17
2022-12-04 01:04:00,randUni43575:1,"[1302.1741219330836, 1168.4815037439334]","[13.536360503683548, 52.43283415790112]",0.11113633011974462,143308552#0,143308552#0_0,226.41,45.27,17
2022-12-04 01:04:00,randUni4780:1,"[2235.97358270223, 1534.8397407854811]","[13.549983076809832, 52.43629594125408]",25.157826218488644,:150749047_4,:150749047_4_0,871.44,277.42,17
2022-12-04 01:04:00,randUni47915:1,"[1933.5661751412506, 387.4062049407355]","[13.545875605696288, 52.42592888037612]",49.39941364625783,:21540773_0,:21540773_0_0,1454.57,62.8,17
2022-12-04 01:04:00,randUni49708:1,"[2220.2410306656016, 665.6486929132948]","[13.55000817202921, 52.428481324138296]",43.61562459272842,10735918,10735918_0,634.98,46.18,17
2022-12-04 01:04:00,randUni5300:1,"[2267.130133408441, 1166.0072815169042]","[13.550550024693136, 52.432986709258564]",22.141100830115676,:6769958405_0,:6769958405_0_0,2226.25,239.35,17
2022-12-04 01:04:00,randUni54031:1,"[1649.5584699103817, 1214.8539039478812]","[13.541454693005802, 52.43331404410639]",1.2969788448200832,-1102335607#2,-1102335607#2_0,1759.26,224.44,17
2022-12-04 01:04:00,randUni54589:1,"[1666.8313508447604, 1459.7860288639108]","[13.541635997839297, 52.435518474523434]",47.4409698199667,-679901152#2,-679901152#2_0,1614.96,60.9,17
2022-12-04 01:04:00,randUni58695:1,"[1071.0271686635622, 689.7440474851697]","[13.533104600179941, 52.4284894554551]",38.2712724782303,147859765#1,147859765#1_0,41.57,139.91,17
2022-12-04 01:04:00,randUni61707:1,"[1222.9178952786237, 1256.6179010589394]","[13.53516885211957, 52.43361183912188]",41.28327319558168,143308527#4,143308527#4_0,53.66,47.91,17
2022-12-04 01:04:00,randUni6405:1,"[2143.3247284777317, 1734.8962198910633]","[13.548561565874271, 52.438077213736634]",29.982222684929518,1072269112,1072269112_0,1780.61,239.33,17
2022-12-04 01:04:00,randUni81976:1,"[1202.3539223755333, 1133.9363125543855]","[13.534903045308598, 52.43250550988857]",32.468036960852345,31050360#0,31050360#0_0,1368.88,316.15,17
2022-12-04 01:04:00,randUni87836:1,"[1800.895740750207, 1541.2688730245534]","[13.543583259230697, 52.43627509070895]",29.520383034262967,166142947,166142947_0,990.62,238.54,17
2022-12-04 01:05:00,randUni102528:1,"[720.6987298371417, 1662.7506191974853]","[13.527662443711652, 52.43717016543991]",38.68511152548865,70130339#0,70130339#0_0,49.33,139.83,16
2022-12-04 01:05:00,randUni18000:1,"[1253.7919026952027, 1154.0354385933613]","[13.535653395491671, 52.4326955173975]",51.847371871543444,670062909#0,670062909#0_0,1078.33,225.11,16
2022-12-04 01:05:00,randUni32682:1,"[1520.6358837794157, 1391.6433648102127]","[13.539506455697355, 52.4348795165403]",45.75768985233358,206889086#0,206889086#0_0,645.18,239.71,16
