dateandtime,vehid,coord,gpscoord,spdK/m,edge,lane,displacement,turnAngle,vehDen
2022-12-04 09:02:00,carIn10523:1,"[2277.521480688175, 748.7239022795727]","[13.550825855250404, 52.429238281473374]",0.0,190928926#0,190928926#0_1,2823.54,222.7,221
2022-12-04 09:02:00,carIn11256:3,"[2061.258489451694, 519.9630449630672]","[13.547713750779728, 52.42714329782693]",50.55945901569902,43660343#1,43660343#1_0,3238.55,225.3,221
2022-12-04 09:02:00,carIn1186:1,"[2906.275949044975, 2101.826521978346]","[13.559673889218676, 52.44151216920297]",46.097023409877295,23010175#0,23010175#0_1,3930.66,351.73,221
2022-12-04 09:02:00,carIn1207:3,"[577.2928933130191, 1868.960800556111]","[13.525491731723886, 52.43899716198322]",40.79177593299643,85278289#0,85278289#0_0,2179.22,319.05,221
2022-12-04 09:02:00,carIn12623:1,"[3169.3956859741847, 3227.8162137220015]","[13.563214319425347, 52.45167901229036]",34.043175128401025,311299993#1,311299993#1_0,5196.43,7.01,221
2022-12-04 09:02:00,carIn12746:1,"[919.9942625949529, 1944.8235459997732]","[13.530508815258962, 52.439741703832844]",59.04576158067587,:1652675141_7,:1652675141_7_0,1637.32,137.73,221
2022-12-04 09:02:00,carIn13623:1,"[2274.7787692604966, 1811.7330948761012]","[13.550472042564113, 52.43879149143029]",44.37987365070471,147053824#5,147053824#5_0,2027.67,239.8,221
2022-12-04 09:02:00,carIn14206:1,"[651.7311468474126, 2246.9825153491524]","[13.526473058906507, 52.442408205193814]",79.48372338433931,-206889085,-206889085_0,1233.26,138.44,221
2022-12-04 09:02:00,carIn14244:1,"[2982.1128615584043, 2319.981388051363]","[13.560725321568233, 52.4434864034742]",40.60214088991705,:1613212051_1,:1613212051_1_0,1116.21,201.9,221
2022-12-04 09:02:00,carIn15170:3,"[408.2730648369062, 2884.917745920454]","[13.522700674737651, 52.44809683854713]",50.45810371056227,376421806#2,376421806#2_0,3827.17,319.18,221
2022-12-04 09:02:00,carIn15190:1,"[2583.4542872676943, 2781.7992907486337]","[13.554726121677911, 52.44756544126748]",47.695656866195094,-31091960#1,-31091960#1_0,349.28,107.93,221
2022-12-04 09:02:00,carIn15859:1,"[1604.123380989281, 1495.8768379222447]","[13.54070316478752, 52.435831459231295]",50.23835682704486,318210355,318210355_3,2106.18,139.1,221
2022-12-04 09:02:00,carIn16138:1,"[3114.6385187749343, 2868.625242288321]","[13.562513940243258, 52.44844101699753]",31.10674034875997,162915320#3,162915320#3_0,5320.22,8.02,221
2022-12-04 09:02:00,carIn1628:1,"[1458.9770380293835, 1329.0136304235068]","[13.538618404098564, 52.434305437546726]",0.021482261742903942,998243552#0,998243552#0_1,1676.48,47.87,221
2022-12-04 09:02:00,carIn17159:1,"[2531.9375291933998, 2801.847046655234]","[13.553962458862047, 52.44773635504205]",50.95087718890358,-31091960#2,-31091960#2_0,293.94,110.37,221
2022-12-04 09:02:00,carIn17453:1,"[1939.445197990729, 1070.849743378832]","[13.54575986040844, 52.43207232601699]",45.2936931494809,461514282#1,461514282#1_0,2654.76,138.06,221
2022-12-04 09:02:00,carIn17630:1,"[258.3613128590482, 3030.6232773463757]","[13.52045173859992, 52.44937876630976]",54.435727348756046,40451057,40451057_0,63.44,138.99,221
2022-12-04 09:02:00,carIn18557:1,"[1294.3815295840486, 1868.464831380765]","[13.536037415027831, 52.43912373717611]",43.1026137625864,40191607#7,40191607#7_0,3382.86,319.75,221
2022-12-04 09:02:00,carIn1921:1,"[850.2394475334836, 808.7014327047355]","[13.529822886354241, 52.42951824690813]",43.47969779725951,143308542#2,143308542#2_1,871.21,60.07,221
2022-12-04 09:02:00,carIn19686:1,"[2175.063633609481, 1749.86262844517]","[13.549023893699122, 52.43821745123924]",25.42896888943038,-1072269112,-1072269112_0,2772.8,60.69,221
2022-12-04 09:02:00,carIn1990:1,"[2800.7488973488835, 2101.96046849823]","[13.558121859557868, 52.44149445876596]",48.32926637923735,11389403#0,11389403#0_0,1526.88,241.31,221
2022-12-04 09:02:00,carIn19919:3,"[2494.1539407050545, 2816.028540980659]","[13.553402520808058, 52.44785701262398]",48.90457675577479,:5566417909_6,:5566417909_6_0,253.58,110.52,221
2022-12-04 09:02:00,carIn20480:3,"[3041.403437428908, 2431.0830519642273]","[13.561564821832205, 52.44449553391186]",47.398746937619634,25042028#4,25042028#4_0,696.01,28.64,221
2022-12-04 09:02:00,carIn21599:1,"[371.7897309942711, 2898.918183931631]","[13.522159829566688, 52.448215959234524]",68.6029735027754,40451057,40451057_0,237.25,139.39,221
2022-12-04 09:02:00,carIn21604:1,"[2799.6687848633983, 1351.7136454098056]","[13.558326100580102, 52.434751468047686]",2.504450309766225,:cluster_150744212_2377301196_6,:cluster_150744212_2377301196_6_0,3927.85,8.28,221
2022-12-04 09:02:00,carIn21710:3,"[2550.411097991411, 3004.560491674041]","[13.554174522857632, 52.44956154557071]",30.734966674356443,-177615723#0,-177615723#0_0,1089.02,20.51,221
2022-12-04 09:02:00,carIn2218:1,"[2294.766571032184, 1823.350568922975]","[13.550762558489742, 52.43889950539127]",36.89230470696598,:237253392_0,:237253392_0_0,2004.55,239.99,221
2022-12-04 09:02:00,carIn22586:1,"[2424.3505348080544, 2318.4163064261315]","[13.552522400034524, 52.44337220592211]",24.98001610718001,23913522#2,23913522#2_0,3760.34,306.7,221
2022-12-04 09:02:00,carIn22586:3,"[2312.446195696205, 1833.5365534575128]","[13.551019553548086, 52.4389942373142]",23.977676795363827,147053824#4,147053824#4_0,2808.49,240.12,221
2022-12-04 09:02:00,carIn22750:1,"[314.2537176276043, 2966.0240818744983]","[13.521293329944516, 52.448808479024635]",56.28575987208044,40451057,40451057_0,148.86,139.39,221
2022-12-04 09:02:00,carIn2289:1,"[3088.074604467662, 2594.451880466875]","[13.5622034517553, 52.44597215001117]",52.067536380768956,238053690#1,238053690#1_0,889.16,109.85,221
2022-12-04 09:02:00,carIn22917:1,"[1674.8068376657736, 1464.2236324297135]","[13.541751960089792, 52.435559803381416]",41.86361744866442,-679901152#2,-679901152#2_0,1774.57,60.91,221
2022-12-04 09:02:00,carIn22966:1,"[1802.2981983684977, 1542.1270362287585]","[13.543603628323945, 52.43628305737299]",23.703928510154345,166142947,166142947_0,2571.72,238.54,221
2022-12-04 09:02:00,carIn23261:1,"[1265.140684501097, 412.8076189519873]","[13.536041038629694, 52.42603590053351]",16.112565910194892,:1677246223_0,:1677246223_0_0,3628.64,188.91,221
2022-12-04 09:02:00,carIn23292:1,"[2828.0347789540365, 1363.2906751370099]","[13.55873982141738, 52.43486060101116]",41.96517256990532,190928927#9,190928927#9_0,3051.2,53.33,221
2022-12-04 09:02:00,carIn25478:1,"[742.2065251861541, 466.7628563079626]","[13.528336865722752, 52.42642536908414]",21.465110632086343,320741895#0,320741895#0_1,1497.17,271.39,221
2022-12-04 09:02:00,carIn25534:1,"[2820.5264338165966, 2112.7830123798603]","[13.55840955306139, 52.44159527206472]",47.55281958169583,11389403#0,11389403#0_0,1504.33,241.31,221
2022-12-04 09:02:00,carIn25597:1,"[380.7037760224644, 1462.2450777039892]","[13.522722968316941, 52.43530580011051]",40.66667858820324,135777010#3,135777010#3_0,576.61,47.66,221
2022-12-04 09:02:00,carIn26151:1,"[118.8133362156604, 2866.661344256206]","[13.518448525267582, 52.44787949764914]",20.085147333996048,-850224612,-850224612_0,415.82,140.31,221
2022-12-04 09:02:00,carIn26249:1,"[1591.749955423677, 1713.9744372515688]","[13.5404564386786, 52.43778933727796]",29.60421327184157,170543741#1,170543741#1_0,2110.61,55.33,221
2022-12-04 09:02:00,carIn26330:1,"[2518.7846185664766, 2095.251907135589]","[13.553976982910415, 52.441383528028354]",20.83378001022783,11391856#2,11391856#2_0,3415.69,307.66,221
2022-12-04 09:02:00,carIn26914:1,"[2326.397199894907, 1783.8809496285273]","[13.551239359257748, 52.43855047599396]",27.65190933992647,:3154697054_5,:3154697054_5_0,2050.23,141.81,221
2022-12-04 09:02:00,carIn26958:1,"[2081.806248644657, 1697.87791074996]","[13.54766782659992, 52.43773340713862]",24.109875082295833,-178028203#2,-178028203#2_0,2244.73,59.75,221
2022-12-04 09:02:00,carIn26967:3,"[1916.73101969123, 1337.6353184998695]","[13.54534691659057, 52.43446592503177]",35.40500270232555,-166142951#1,-166142951#1_0,2636.74,58.71,221
2022-12-04 09:02:00,carIn27014:1,"[1560.0500514472544, 1563.2747439685704]","[13.540035042618094, 52.436429188660696]",37.03160007112906,:150764500_3,:150764500_3_0,2801.09,319.39,221
2022-12-04 09:02:00,carIn27132:1,"[1287.8892432924263, 1187.9974406512747]","[13.536144646154524, 52.433006954331084]",41.87850571107213,:cluster_30618470_36268429_0,:cluster_30618470_36268429_0_0,3202.42,225.18,221
2022-12-04 09:02:00,carIn27819:3,"[3092.2184257664508, 2530.2943317258046]","[13.562283177655868, 52.445396278763695]",40.547950584366,:10228289857_0,:10228289857_0_0,1278.26,209.24,221
2022-12-04 09:02:00,carIn27998:1,"[2225.8355871280087, 1525.824695398091]","[13.549836655345324, 52.43621309106131]",38.36930489728638,-137534616,-137534616_0,3399.68,59.62,221
2022-12-04 09:02:00,carIn28142:1,"[811.081520748218, 1849.4745814211867]","[13.52893566179086, 52.43886485625604]",48.361236685732905,-117951616#1,-117951616#1_0,995.17,47.96,221
2022-12-04 09:02:00,carIn28154:1,"[2395.0859488527976, 1876.3593720296146]","[13.552222249730573, 52.43939398992699]",41.14943990505292,:220508530_9,:220508530_9_0,2605.35,61.2,221
2022-12-04 09:02:00,carIn2897:1,"[2990.1442516217894, 2339.0692469590867]","[13.560837853549875, 52.44365939213679]",38.50677094717667,-1118380198,-1118380198_0,1195.47,204.04,221
2022-12-04 09:02:00,carIn29730:1,"[466.1097847109152, 1964.9522244210173]","[13.523827838505635, 52.439839465081434]",49.6796645157169,97206935#4,97206935#4_0,498.56,139.49,221
2022-12-04 09:02:00,carIn29813:1,"[853.7909406593792, 2345.779249087286]","[13.529415210111274, 52.44333311692222]",63.33078586193156,354090677,354090677_0,971.72,138.47,221
2022-12-04 09:02:00,carIn2987:3,"[1024.773931131175, 2177.819165272815]","[13.531980122926718, 52.441854851996595]",55.284301713732816,153021545#3,153021545#3_0,1519.19,318.63,221
2022-12-04 09:02:00,carIn3100:3,"[1780.1771121502863, 1273.741973014601]","[13.543357883655988, 52.43386697067231]",32.026509597715126,1102336903#0,1102336903#0_2,574.96,319.23,221
2022-12-04 09:02:00,carIn31270:1,"[1751.4940053273858, 1508.668422379979]","[13.542866463404332, 52.43597314778963]",23.051781639172685,:1906421964_4,:1906421964_4_0,2783.87,67.49,221
2022-12-04 09:02:00,carIn31832:3,"[2507.751712048673, 1942.1787289159297]","[13.553859775340278, 52.44000581118499]",38.44199675874572,147053824#2,147053824#2_0,1653.53,240.95,221
